the_geom,OBJECTID,Name,Type,Address
POINT (-90.109083616334 29.935070842367),34,La Nuit Theatre,Venue,5039 FRERET ST
POINT (-90.106428814021 29.958283871866),9,GREATER NEW ORLEANS SOUNDS,Group,1306 S GENOIS ST
POINT (-90.073167802361 29.952836026041),13,New Orleans Ballet Association,Group,935 GRAVIER ST
POINT (-90.034514327289 29.964392853526),24,WASHBOARD CHAZ MUSIC,Group,1011 MAZANT ST
POINT (-90.07387418406 29.956146638904),33,Joy Theater,Venue,1200 CANAL ST
POINT (-90.051997738476 29.968630404968),49,The Shadowbox,Venue,2400 ST CLAUDE AVE
POINT (-90.118483717949 29.921599957993),22,Uptown Music Theater,Group,5721 MAGAZINE ST
POINT (-90.110594516627 29.987106238824),14,New Orleans Children's Chorus,Group,5306 CANAL BLVD
,1,Anthony Bean Community Theater and Acting School,Group,1333 S CARROLLTON AVE
POINT (-90.121451090968 29.93398262286),18,New Orleans Vocal Arts Chorale,Group,6363 ST CHARLES AVE
POINT (-90.082381863848 29.98049442759),25,ZEPHYR ARTISTS,Group,3033 PONCE DE LEON ST
POINT (-90.037739524542 29.966545816182),15,New Orleans Dance Collective,Group,3705 ST CLAUDE AVE
POINT (-90.072938604683 29.933173634423),5,Escola de Casa Samba,Group,1555 MAGAZINE ST
POINT (-90.038461798538 29.962686846902),8,Goat in the Road Productions,Group,3726 DAUPHINE ST
POINT (-90.07012216375 29.942955828411),47,STAGE DOOR CANTEEN,Venue,945 MAGAZINE ST
POINT (-90.121451090968 29.93398262286),40,Marquette Theatre at Loyola,Venue,6363 ST CHARLES AVE
POINT (-90.112900763333 29.927362232346),42,Mintz Auditorium at the JCC,Venue,5342 ST CHARLES AVE
POINT (-90.076666382305 29.967108172828),29,CARVER THEATER,Venue,2101 ORLEANS AVE
,17,New Orleans Opera Association,Group,616 GIROD ST
POINT (-90.039051422893 29.966847076804),28,BACKYARD BALLROOM,Venue,3519 ST CLAUDE AVE
POINT (-90.121451090968 29.93398262286),19,Shades of Praise,Group,6363 ST CHARLES AVE
POINT (-90.049637566692 29.963672502754),2,"ArtSpot Productions, Inc.",Group,609 ST FERDINAND ST
POINT (-90.130890707589 29.948105062182),6,FUNKAY PRODUCTION,Group,8204 OAK ST
POINT (-90.070877345768 29.943753161839),20,Southern Rep,Group,900 CAMP ST
POINT (-89.993300662513 30.035993285973),3,BAMBOULA 2000,Group,7245 CLARIDGE CT
POINT (-90.051154126195 29.966089349142),36,Lost Love Lounge,Venue,2529 DAUPHINE ST
POINT (-90.117053152904 29.951920247466),7,G2 LTD,Group,75 NERON PL
POINT (-90.070877345768 29.943753161839),31,Contemporary Arts Center,Venue,900 CAMP ST
POINT (-90.065948811714 29.993700348483),32,Cook Theatre at Dillard,Venue,2601 GENTILLY BLVD
POINT (-90.065864961023 30.028568569265),50,UNO Performing Arts Center,Venue,2000 LAKESHORE DR
POINT (-90.069500550902 29.963286505487),39,Mahalia Jackson Performing Arts Center,Venue,1419 BASIN ST
,44,Orpheum Theatre,Venue,129 UNIVERSITY PL
POINT (-90.072547771252 29.952361268036),21,"Stage to Stage, Inc.",Group,305 BARONNE ST
POINT (-90.072205370439 29.956596087652),46,Saenger Theatre,Venue,143 N RAMPART ST
POINT (-90.07012216375 29.942955828411),51,Victory Theater and Stage Door Canteen,Venue,945 MAGAZINE ST
POINT (-90.064120438506 29.957413952709),35,Le Petit Theatre du Vieux Carre,Venue,616 ST PETER ST
POINT (-90.049051780567 29.969823634125),43,Mudlark Public Theater,Venue,1200 PORT ST
POINT (-90.055655414554 29.968528324721),26,Allways Lounge and Theater,Venue,2240 ST CLAUDE AVE
POINT (-90.049373064466 29.962777497152),37,Lupin Hall at NOCCA,Venue,2800 CHARTRES ST
POINT (-90.052720620831 29.96855184781),45,RHYTHMIC ARTS CENTER,Venue,2358 ST CLAUDE AVE
POINT (-90.073590994969 29.953827718318),11,Louisiana Philharmonic Orchestra,Group,1010 COMMON ST
POINT (-90.049051780567 29.969823634125),48,THE MUDLARK PUBLIC THEATRE,Venue,1200 PORT ST
POINT (-90.074207628102 29.950059783707),30,Civic Theater,Venue,510 O'KEEFE ST
POINT (-90.079118396502 29.926171315045),12,Mondo Bizarro,Group,916 SECOND ST
POINT (-90.080503137763 29.939034161332),27,Ashe Cultural Arts Center,Venue,1732 ORETHA CASTLE HALEY BLVD
POINT (-90.126761129667 29.936697971334),10,Greater New Orleans Youth Orchestras,Group,7100 ST CHARLES AVE
POINT (-90.079072798122 29.934876670775),16,New Orleans Jazz Orchestra,Group,2020 ST CHARLES AVE
POINT (-90.091715856856 29.936248576689),23,WAEL VIOLINIST MINISTRIES,Group,2309 SIXTH ST
POINT (-90.092380852697 29.97507894051),41,MID-CITY THEATRE,Venue,3540 TOULOUSE ST
POINT (-90.124454900011 29.938334786585),38,Lupin Theatre at Tulane,Venue,16 NEWCOMB BLVD
POINT (-90.039653758482 29.964350458796),4,Black Forest Fancies,Group,900 CONGRESS ST
